species_original_name,msw05_order,msw05_family,adultbodymass_g,gestationlen_d,littersize,homerange_km2,maxlongevity_m,populationdensity_n_km2,weaningage_d,trophiclevel,gr_midrangelat_dd,gr_midrangelong_dd,species_matched_name,open_tree_id,is_synonym
Episoriculus fumidus,Soricomorpha,Soricidae,6.95,,3.42,,,,,,23.6,121.02,Episoriculus fumidus,250788,False
Episoriculus leucops,Soricomorpha,Soricidae,,,,,,,,,25.38,95.19,Episoriculus leucops,803082,False
Episoriculus macrurus,Soricomorpha,Soricidae,,,,,,,,,26.27,94.62,Episoriculus macrurus,64854,False
Epixerus ebii,Rodentia,Sciuridae,520.96,,2.0,,,,,1.0,7.13,-6.38,Epixerus ebii,3609043,False
Epomophorus angolensis,Chiroptera,Pteropodidae,,,1.0,,,,,,-12.53,14.88,Epomophorus angolensis,3613513,False
Epomophorus crypturus,Chiroptera,Pteropodidae,95.04,91.24,0.99,,,,60.83,1.0,-18.1,29.36,Epomophorus crypturus,15293,False
Epomophorus gambianus,Chiroptera,Pteropodidae,134.59,156.43,0.98,,,,59.99,1.0,9.79,10.97,Epomophorus gambianus,790965,False
Epomophorus grandis,Chiroptera,Pteropodidae,49.42,,,,,,,1.0,-5.85,16.39,Epomophorus grandis,3613514,False
Epomophorus labiatus,Chiroptera,Pteropodidae,69.65,156.43,0.99,,,,,1.0,1.16,26.66,Epomophorus labiatus,1004006,False
Epomophorus minimus,Chiroptera,Pteropodidae,,,,,,,,,-2.44,35.94,Epomophorus minimus,3613516,False
Epomophorus minor,Chiroptera,Pteropodidae,44.76,,,,,,,1.0,,,Epomophorus minor,787381,False
Epomophorus wahlbergi,Chiroptera,Pteropodidae,93.59,156.43,0.99,,,,668.8,1.0,-14.48,28.34,Epomophorus wahlbergi,113368,False
