species_original_name,msw05_order,msw05_family,adultbodymass_g,gestationlen_d,littersize,homerange_km2,maxlongevity_m,populationdensity_n_km2,weaningage_d,trophiclevel,gr_midrangelat_dd,gr_midrangelong_dd,species_matched_name,open_tree_id,is_synonym
Melomys spechti,Rodentia,Muridae,,,,,,,,,,,Melomys spechti,3608804,False
Melomys talaudium,Rodentia,Muridae,,,,,,,,,,,Melomys talaudium,3608815,False
Melonycteris fardoulisi,Chiroptera,Pteropodidae,,,,,,,,,-9.21,159.44,Melonycteris fardoulisi,687487,False
Melonycteris melanops,Chiroptera,Pteropodidae,47.59,,,,,,,1.0,-4.33,150.05,Melonycteris melanops,610865,False
Melonycteris woodfordi,Chiroptera,Pteropodidae,36.2,,0.98,,,,,1.0,-7.11,157.45,Melonycteris woodfordi,201391,False
Melursus ursinus,Carnivora,Ursidae,99999.99,203.36,1.54,7.69,480.0,0.13,194.67,2.0,18.25,85.13,Melursus ursinus,297463,False
Menetes berdmorei,Rodentia,Sciuridae,,,,,51.6,,,,15.26,102.39,Menetes berdmorei,800180,False
Mephitis macroura,Carnivora,Mephitidae,1097.76,58.2,4.68,,,,,3.0,23.58,-99.25,Mephitis macroura,231604,False
Mephitis mephitis,Carnivora,Mephitidae,2399.99,63.29,5.7,2.32,155.0,8.15,55.15,2.0,43.15,-94.89,Mephitis mephitis,231602,False
Meriones arimalius,Rodentia,Muridae,,,,,,,,,23.03,50.78,Meriones arimalius,3608989,False
Meriones chengi,Rodentia,Muridae,,,,,,,,,44.61,89.65,Meriones chengi,197974,False
Meriones crassus,Rodentia,Muridae,69.94,23.5,4.21,,67.2,,30.24,1.0,26.76,26.67,Meriones crassus,404788,False
Microtus lusitanicus,Rodentia,Cricetidae,,20.0,2.09,,,,19.85,,40.41,-5.22,Microtus lusitanicus,509533,False
Microtus majori,Rodentia,Cricetidae,,,3.6,,,,,,41.59,37.0,Microtus majori,610970,False
Microtus maximowiczii,Rodentia,Cricetidae,,,6.8,,,,,,51.65,124.43,Microtus maximowiczii,789256,False
Microtus mexicanus,Rodentia,Cricetidae,34.88,,2.33,0.000876185,,1483.67,,,23.6,-102.58,Microtus mexicanus,927229,False
Microtus middendorffii,Rodentia,Cricetidae,,,5.49,,,,,,68.73,115.22,Alexandromys middendorffii,1040390,True
Microtus miurus,Rodentia,Cricetidae,41.0,21.0,3.89,0.000871042,,,,,64.64,-146.2,Microtus miurus,269522,False
Microtus mongolicus,Rodentia,Cricetidae,,,,,,,,,49.39,116.09,Alexandromys mongolicus,839865,True
Microtus montanus,Rodentia,Cricetidae,42.85,21.13,5.54,0.000118315,,3160.0,15.0,,42.95,-113.63,Microtus montanus,1035816,False
Microtus montebelli,Rodentia,Cricetidae,29.49,22.24,4.3,,,,17.25,,37.43,138.24,Microtus montebelli,930591,False
Microtus mujanensis,Rodentia,Cricetidae,,,,,,,,,56.4,115.61,Microtus mujanensis,422794,False
Microtus multiplex,Rodentia,Cricetidae,23.16,,3.0,,,,,,,,Microtus multiplex,965604,False
Microtus oaxacensis,Rodentia,Cricetidae,36.52,,1.2,,,,,,17.73,-96.26,Microtus oaxacensis,755191,False
Microtus ochrogaster,Rodentia,Cricetidae,42.5,21.5,3.87,0.000255014,,8990.59,21.0,2.0,42.53,-98.63,Microtus ochrogaster,927240,False
Microtus oeconomus,Rodentia,Cricetidae,33.1,21.51,5.62,0.001176411,21.6,3985.97,20.0,,58.24,-0.000100351,Microtus oeconomus,1051081,False
Microtus oregoni,Rodentia,Cricetidae,20.35,23.83,3.32,0.000533681,15.0,551.7,13.91,1.0,44.26,-122.44,Microtus oregoni,269491,False
Microtus paradoxus,Rodentia,Cricetidae,,,,,,,,,,,Microtus paradoxus,3608492,False
Microtus pennsylvanicus,Rodentia,Cricetidae,42.53,21.24,5.16,0.000277446,11.0,2537.98,12.92,2.0,51.44,-108.29,Microtus pennsylvanicus,340973,False
Microtus pinetorum,Rodentia,Cricetidae,25.95,23.99,2.47,0.001048491,33.6,1460.0,20.08,1.0,37.42,-84.91,Microtus pinetorum,269493,False
Microtus qazvinensis,Rodentia,Cricetidae,,,,,,,,,,,Microtus qazvinensis,3608493,False
Microtus quasiater,Rodentia,Cricetidae,40.0,,1.4,,,,,,19.76,-97.98,Microtus quasiater,131164,False
Microtus richardsoni,Rodentia,Cricetidae,85.5,22.29,5.93,0.000285368,18.0,620.0,,1.0,45.98,-115.22,Microtus richardsoni,803869,False
Microtus sachalinensis,Rodentia,Cricetidae,,,7.89,,,,,,49.02,143.18,Microtus sachalinensis,839862,False
Microtus savii,Rodentia,Cricetidae,20.0,,,,,,,,,,Microtus savii,509535,False
Microtus schelkovnikovi,Rodentia,Cricetidae,,,,,,,,,37.39,51.27,Microtus schelkovnikovi,404168,False
Microtus schidlovskii,Rodentia,Cricetidae,,,,,,,,,,,Microtus schidlovskii,3608494,False
Microtus socialis,Rodentia,Cricetidae,48.0,19.5,5.51,,,,24.11,,42.28,61.29,Microtus socialis,803141,False
Microtus subterraneus,Rodentia,Cricetidae,17.74,21.0,2.46,,,,23.23,,50.81,18.72,Microtus subterraneus,965600,False
Microtus tatricus,Rodentia,Cricetidae,,,2.91,,,,,,48.37,22.02,Microtus tatricus,965599,False
Microtus thomasi,Rodentia,Cricetidae,,,4.32,,,,,,39.99,21.1,Microtus thomasi,1061324,False
Microtus townsendii,Rodentia,Cricetidae,52.02,23.2,5.06,0.000576965,,34348.94,15.44,1.0,45.56,-124.56,Microtus townsendii,803867,False
Microtus transcaspicus,Rodentia,Cricetidae,,,2.1,,,,,,33.53,56.75,Microtus transcaspicus,941091,False
Microtus umbrosus,Rodentia,Cricetidae,41.99,,,,,,,,16.99,-96.15,Microtus umbrosus,775312,False
Microtus xanthognathus,Rodentia,Cricetidae,92.65,,8.1,0.001022511,,1000.0,30.41,1.0,61.45,-124.28,Microtus xanthognathus,241402,False
Millardia gleadowi,Rodentia,Muridae,,,2.3,,48.0,,,,27.15,69.27,Millardia gleadowi,6520511,False
Millardia kathleenae,Rodentia,Muridae,,,,,,,,,22.58,95.39,Millardia kathleenae,481167,False
Millardia kondana,Rodentia,Muridae,,,,,,,,,18.24,73.8,Millardia kondana,3608651,False
Millardia meltada,Rodentia,Muridae,67.17,20.0,5.72,0.000926123,,,,,20.1,76.1,Millardia meltada,170600,False
Mimetillus moloneyi,Chiroptera,Vespertilionidae,8.89,,0.98,,,,,,-4.39,13.83,Mimetillus moloneyi,3614209,False
Mimon bennettii,Chiroptera,Phyllostomidae,12.9,,,,,,,2.0,-10.92,-46.87,Mimon bennettii,780064,False
Mimon cozumelae,Chiroptera,Phyllostomidae,,,0.98,,,,,,12.47,-84.65,Mimon cozumelae,860220,False
Mimon crenulatum,Chiroptera,Phyllostomidae,13.91,,0.99,,,,,2.0,2.36,-62.43,Gardnerycteris crenulatum,792611,True
Mimon koepckeae,Chiroptera,Phyllostomidae,,,,,,,,,-10.99,-74.81,Gardnerycteris koepckeae,3613579,True
Miniopterus africanus,Chiroptera,Vespertilionidae,,,,,,,,,-2.79,30.31,Miniopterus africanus,996932,False
Miniopterus australis,Chiroptera,Vespertilionidae,7.4,132.74,0.99,,,,,3.0,-6.73,-3.15,Miniopterus australis,1002681,False
Miniopterus fraterculus,Chiroptera,Vespertilionidae,7.38,155.09,1.0,,,,,,-24.05,32.9,Miniopterus fraterculus,61862,False
Miniopterus fuscus,Chiroptera,Vespertilionidae,,,,,,,,,26.38,126.69,Miniopterus fuscus,1011491,False
Miniopterus gleni,Chiroptera,Vespertilionidae,,,,,,,,,-18.77,47.05,Miniopterus gleni,350062,False
Miniopterus inflatus,Chiroptera,Vespertilionidae,14.9,91.24,0.99,,,,,3.0,-5.68,24.32,Miniopterus inflatus,306577,False
Miniopterus macrocneme,Chiroptera,Vespertilionidae,7.53,,1.0,,,,,,-12.17,150.29,Miniopterus macrocneme,18885,False
Miniopterus magnater,Chiroptera,Vespertilionidae,14.14,,,,,,,,7.21,121.82,Miniopterus magnater,829941,False
Miniopterus majori,Chiroptera,Vespertilionidae,,,,,,,,3.0,-18.77,47.03,Miniopterus majori,350060,False
Miniopterus manavi,Chiroptera,Vespertilionidae,,,,,,,,3.0,-18.48,46.84,Miniopterus manavi,18883,False
Miniopterus medius,Chiroptera,Vespertilionidae,11.4,,1.0,,,,,,-0.68,125.57,Miniopterus medius,598189,False
Miniopterus minor,Chiroptera,Vespertilionidae,,,,,,,,,-5.62,23.31,Miniopterus minor,306579,False
Miniopterus natalensis,Chiroptera,Vespertilionidae,10.43,126.88,1.0,,,,58.59,3.0,,,Miniopterus natalensis,18887,False
Miniopterus paululus,Chiroptera,Vespertilionidae,,,,,,,,,,,Miniopterus paululus,3613702,False
Miniopterus pusillus,Chiroptera,Vespertilionidae,8.95,,,,,,,,8.91,102.85,Miniopterus pusillus,61867,False
Miniopterus robustior,Chiroptera,Vespertilionidae,,,,,,,,,-21.16,167.56,Miniopterus robustior,3613704,False
Miniopterus schreibersii,Chiroptera,Vespertilionidae,11.46,182.5,0.99,,168.0,,60.19,3.0,5.87,72.43,Miniopterus schreibersii,238425,False
Miniopterus shortridgei,Chiroptera,Vespertilionidae,,,,,,,,,,,Miniopterus shortridgei,3613705,False
Miniopterus tristis,Chiroptera,Vespertilionidae,15.17,,,,,,,,4.18,134.4,Miniopterus tristis,306583,False
Miopithecus ogouensis,Primates,Cercopithecidae,,,,,,,,,-0.62,12.04,Miopithecus ogouensis,949834,False
Muntiacus feae,Artiodactyla,Cervidae,21999.99,195.57,1.22,,,,,2.0,15.02,98.37,Muntiacus feae,418003,False
Muntiacus gongshanensis,Artiodactyla,Cervidae,18590.01,,,,,,,2.0,28.59,97.55,Muntiacus gongshanensis,615938,False
Muntiacus muntjak,Artiodactyla,Cervidae,17611.59,210.0,1.0,,211.2,3.12,,1.0,11.79,95.86,Muntiacus muntjak,194523,False
Muntiacus puhoatensis,Artiodactyla,Cervidae,,,,,,,,,19.46,104.86,Muntiacus puhoatensis,3611948,False
Muntiacus putaoensis,Artiodactyla,Cervidae,,,,,,,,,26.72,97.29,Muntiacus putaoensis,57126,False
Muntiacus reevesi,Artiodactyla,Cervidae,13499.94,214.24,0.98,0.12,,0.67,,1.0,27.17,113.4,Muntiacus reevesi,59206,False
Muntiacus rooseveltorum,Artiodactyla,Cervidae,10762.64,212.49,1.0,,,,,,19.4,103.91,Muntiacus rooseveltorum,57125,False
Muntiacus truongsonensis,Artiodactyla,Cervidae,,,,,,,,,15.77,107.26,Muntiacus truongsonensis,418000,False
Muntiacus vuquangensis,Artiodactyla,Cervidae,36690.82,,,,,,,,15.99,105.96,Muntiacus vuquangensis,57121,False
Murexechinus melanurus,Dasyuromorphia,Dasyuridae,38.02,,3.49,,,150.0,,3.0,-5.66,141.74,Murexia melanurus,303997,True
Murexia longicaudata,Dasyuromorphia,Dasyuridae,126.79,,,,,,,3.0,-5.67,141.56,Murexia longicaudata,631445,False
Necromys punctulatus,Rodentia,Cricetidae,37.3,,,,,,,,,,Necromys punctulatus,3608374,False
Necromys temchuki,Rodentia,Cricetidae,47.2,,,,,,,,-26.69,-57.62,Bolomys temchuki,817135,True
Necromys urichi,Rodentia,Cricetidae,44.84,,5.18,,,304.58,,2.0,6.04,-66.74,Bolomys urichi,435931,True
Nectogale elegans,Soricomorpha,Soricidae,38.82,,,,,,,3.0,30.59,98.83,Nectogale elegans,690666,False
Nectomys apicalis,Rodentia,Cricetidae,,,,,,,,,,,Nectomys apicalis,806766,False
Nectomys magdalenae,Rodentia,Cricetidae,,,,,,,,,,,Nectomys magdalenae,3608238,False
Nectomys palmipes,Rodentia,Cricetidae,,,,,,,,,7.67,-62.26,Nectomys palmipes,3608235,False
Nectomys rattus,Rodentia,Cricetidae,248.8,,,,,,,2.0,4.59,-52.44,Nectomys rattus,3608236,False
Nectomys squamipes,Rodentia,Cricetidae,184.98,,4.5,0.00155313,,212.58,,2.0,,,Nectomys squamipes,885389,False
Muriculus imberbis,Rodentia,Muridae,18.5,,,,,,,,10.65,38.37,Muriculus imberbis,3610601,False
Murina aenea,Chiroptera,Vespertilionidae,7.5,,,,,,,,4.19,109.3,Murina aenea,448968,False
Murina aurata,Chiroptera,Vespertilionidae,,,,,,,,,28.41,94.23,Murina aurata,45655,False
Murina cyclotis,Chiroptera,Vespertilionidae,9.35,,1.98,,,,,,9.65,101.83,Murina cyclotis,176327,False
Murina florium,Chiroptera,Vespertilionidae,4.41,,,,,,,,-9.28,132.4,Murina florium,434676,False
Murina fusca,Chiroptera,Vespertilionidae,,,,,,,,,39.72,111.74,Murina fusca,3613776,False
Murina grisea,Chiroptera,Vespertilionidae,,,,,,,,,30.27,78.09,Harpiola grisea,3613626,True
Murina hilgendorfi,Chiroptera,Vespertilionidae,,,,,,,,,44.36,115.64,Murina hilgendorfi,448966,False
Murina huttoni,Chiroptera,Vespertilionidae,7.56,,,,,,,,20.17,93.03,Murina huttoni,61865,False
Murina leucogaster,Chiroptera,Vespertilionidae,7.54,,,,,,,,24.46,102.38,Murina leucogaster,434674,False
Murina puta,Chiroptera,Vespertilionidae,,,,,,,,,23.6,121.02,Murina puta,434682,False
Murina rozendaali,Chiroptera,Vespertilionidae,,,,,,,,,3.83,109.37,Murina rozendaali,505794,False
Murina ryukyuana,Chiroptera,Vespertilionidae,,,,,,,,,26.47,127.98,Murina ryukyuana,3613778,False
Murina silvatica,Chiroptera,Vespertilionidae,,,,,,,,,39.47,138.34,Murina silvatica,3613779,False
Murina suilla,Chiroptera,Vespertilionidae,4.0,,,,,,,,-0.88,107.76,Murina suilla,190903,False
Murina tenebrosa,Chiroptera,Vespertilionidae,,,,,,,,,34.49,129.36,Murina tenebrosa,3613773,False
Mesoplodon layardii,Cetacea,Ziphiidae,1500000.0,,,,,,,,,,Mesoplodon layardii,1021369,False
Mesoplodon mirus,Cetacea,Ziphiidae,2099999.99,,0.97,,,,,,,,Mesoplodon mirus,319479,False
Mesoplodon perrini,Cetacea,Ziphiidae,,,,,,,,,,,Mesoplodon perrini,276883,False
Mesoplodon peruvianus,Cetacea,Ziphiidae,,,,,,,,,,,Mesoplodon peruvianus,825958,False
Mesoplodon stejnegeri,Cetacea,Ziphiidae,4800000.02,,,,,,,,,,Mesoplodon stejnegeri,319467,False
Mesoplodon traversii,Cetacea,Ziphiidae,,,,,,,,,,,Mesoplodon traversii,346599,False
Metachirus nudicaudatus,Didelphimorphia,Didelphidae,363.77,,3.87,,48.0,25.59,,2.0,-5.33,-64.76,Metachirus nudicaudatus,502628,False
Micaelamys granti,Rodentia,Muridae,40.0,,,,,,,,-31.57,22.49,Micaelamys granti,3608713,False
Micaelamys namaquensis,Rodentia,Muridae,57.1,21.99,3.49,,,1378.9,27.5,,-23.16,26.01,Micaelamys namaquensis,742036,False
Micoureus alstoni,Didelphimorphia,Didelphidae,132.3,,,,,,,,13.29,-86.0,Micoureus alstoni,29033,False
Micoureus constantiae,Didelphimorphia,Didelphidae,92.69,,8.0,,,,,,-20.47,-59.57,Micoureus constantiae,913354,False
Micoureus demerarae,Didelphimorphia,Didelphidae,102.28,,6.29,,,26.38,,3.0,-8.52,-56.36,Micoureus demerarae,606436,False
Micoureus paraguayanus,Didelphimorphia,Didelphidae,112.43,,5.56,,,30.82,,3.0,,,Micoureus paraguayanus,392321,False
Micoureus phaeus,Didelphimorphia,Didelphidae,,,,,,,,,,,Micoureus phaeus,3606666,False
Micoureus regina,Didelphimorphia,Didelphidae,118.6,,,,,,,,-4.64,-73.43,Micoureus regina,84822,False
Microakodontomys transitorius,Rodentia,Cricetidae,,,,,,,,,,,Microakodontomys transitorius,219592,False
Microcavia australis,Rodentia,Caviidae,261.49,54.91,2.48,0.002938105,,2116.99,20.86,1.0,-37.86,-67.21,Microcavia australis,484314,False
Microcavia niata,Rodentia,Caviidae,254.67,54.0,3.16,,,,20.88,1.0,-19.93,-67.0,Microcavia niata,535746,False
Microcavia shiptoni,Rodentia,Caviidae,185.0,54.0,3.16,,,,20.88,,-25.07,-65.52,Microcavia shiptoni,3609881,False
Microcebus berthae,Primates,Cheirogaleidae,33.45,,,,,,,,-20.07,44.67,Microcebus berthae,765353,False
Microcebus griseorufus,Primates,Cheirogaleidae,70.24,,,,,,,,-22.94,43.97,Microcebus griseorufus,765339,False
Microcebus murinus,Primates,Cheirogaleidae,69.0,60.34,2.0,0.01,186.0,461.0,40.45,2.0,-18.95,46.41,Microcebus murinus,311211,False
Microcebus myoxinus,Primates,Cheirogaleidae,31.23,59.99,2.0,,,,,2.0,-20.08,44.84,Microcebus myoxinus,67369,False
Microcebus ravelobensis,Primates,Cheirogaleidae,58.6,,,,,,,,-16.3,46.92,Microcebus ravelobensis,148505,False
Microcebus rufus,Primates,Cheirogaleidae,48.39,59.99,2.52,0.01,144.0,167.8,40.0,2.0,-19.32,48.52,Microcebus rufus,148500,False
Microcebus sambiranensis,Primates,Cheirogaleidae,49.06,,,,,,,,-14.05,48.27,Microcebus sambiranensis,765356,False
Microcebus tavaratra,Primates,Cheirogaleidae,68.01,,,,,,,,-13.06,49.06,Microcebus tavaratra,765352,False
Microdillus peeli,Rodentia,Muridae,,,,,,,,,7.14,45.93,Microdillus peeli,3611191,False
Microdipodops megacephalus,Rodentia,Heteromyidae,12.3,,3.94,0.004385806,65.0,,,2.0,40.82,-116.76,Microdipodops megacephalus,241226,False
Microdipodops pallidus,Rodentia,Heteromyidae,13.36,,3.89,,,,,2.0,38.57,-117.47,Microdipodops pallidus,844945,False
Microgale brevicaudata,Afrosoricida,Tenrecidae,8.99,,4.5,,,,,3.0,-18.37,47.15,Microgale brevicaudata,542046,False
Microgale cowani,Afrosoricida,Tenrecidae,12.27,,,,,,,,-18.37,48.63,Microgale cowani,544762,False
Microgale dobsoni,Afrosoricida,Tenrecidae,36.66,61.64,2.66,,67.2,,27.87,3.0,-18.56,48.58,Microgale dobsoni,82081,False
Microgale drouhardi,Afrosoricida,Tenrecidae,10.5,,,,,,,,-17.67,48.56,Microgale drouhardi,3607183,False
Microgale dryas,Afrosoricida,Tenrecidae,40.0,,,,,,,,-16.52,49.07,Microgale dryas,3607187,False
Microgale fotsifotsy,Afrosoricida,Tenrecidae,7.7,,,,,,,,-19.35,48.56,Microgale fotsifotsy,3607186,False
Microgale gracilis,Afrosoricida,Tenrecidae,23.3,,,,,,,,-21.84,47.2,Microgale gracilis,3607184,False
Microgale gymnorhyncha,Afrosoricida,Tenrecidae,18.2,,,,,,,,-18.54,48.58,Microgale gymnorhyncha,3607189,False
Microgale longicaudata,Afrosoricida,Tenrecidae,8.08,,,,,,,3.0,-17.68,48.57,Microgale longicaudata,792176,False
Microgale monticola,Afrosoricida,Tenrecidae,13.9,,,,,,,,-14.59,49.59,Microgale monticola,3607180,False
Microgale nasoloi,Afrosoricida,Tenrecidae,,,,,,,,,-22.63,44.53,Microgale nasoloi,3607188,False
Microgale parvula,Afrosoricida,Tenrecidae,3.53,,,,,,,,-18.67,48.49,Microgale parvula,3607182,False
Microgale principula,Afrosoricida,Tenrecidae,10.2,,,,,,,,-19.45,48.49,Microgale principula,351005,False
Microgale pusilla,Afrosoricida,Tenrecidae,3.4,,,,,,,,-20.83,46.55,Microgale pusilla,792174,False
Microgale soricoides,Afrosoricida,Tenrecidae,18.7,,,,,,,,-18.49,48.44,Microgale soricoides,3607185,False
Microgale taiva,Afrosoricida,Tenrecidae,12.4,,,,,,,,-21.81,47.33,Microgale taiva,1037946,False
Microgale talazaci,Afrosoricida,Tenrecidae,43.07,60.74,2.23,,70.0,,29.38,3.0,-17.69,48.57,Microgale talazaci,211383,False
Microgale thomasi,Afrosoricida,Tenrecidae,22.9,,,,,,,,-21.93,47.33,Microgale thomasi,3607179,False
Microhydromys musseri,Rodentia,Muridae,,,,,,,,3.0,-3.54,142.43,Neacomys musseri,48240,True
Microhydromys richardsoni,Rodentia,Muridae,10.25,,,,,,,3.0,-6.47,143.17,Microhydromys richardsoni,3608863,False
Micromurexia habbema,Dasyuromorphia,Dasyuridae,,,,,,,,,-5.23,141.56,Murexia habbema,304008,True
Micromys minutus,Rodentia,Muridae,6.99,21.0,4.92,,60.0,,15.0,,43.32,68.17,Micromys minutus,211375,False
Micronycteris brosseti,Chiroptera,Phyllostomidae,,,,,,,,,-10.7,-61.52,Micronycteris brosseti,989361,False
Micronycteris hirsuta,Chiroptera,Phyllostomidae,12.89,,0.99,,,,,2.0,0.63,-71.45,Micronycteris hirsuta,218141,False
Micronycteris homezi,Chiroptera,Phyllostomidae,,,,,,,,,4.01,-58.7,Micronycteris homezi,596437,False
Micronycteris matses,Chiroptera,Phyllostomidae,,,,,,,,,-5.29,-73.15,Micronycteris matses,456416,False
Micronycteris megalotis,Chiroptera,Phyllostomidae,6.4,121.66,0.98,,,,,2.0,-5.56,-58.07,Micronycteris megalotis,218140,False
Micronycteris microtis,Chiroptera,Phyllostomidae,,,,,,,,,11.59,-80.01,Micronycteris microtis,596443,False
Micronycteris minuta,Chiroptera,Phyllostomidae,6.9,,0.99,,,,,2.0,-7.5,-60.53,Micronycteris minuta,218139,False
Micronycteris sanborni,Chiroptera,Phyllostomidae,,,,,,,,,-12.46,-65.74,Micronycteris sanborni,3613581,False
Micronycteris schmidtorum,Chiroptera,Phyllostomidae,7.73,,,,,,,2.0,-4.76,-62.08,Micronycteris schmidtorum,218135,False
Microperoryctes longicauda,Peramelemorphia,Peramelidae,542.07,,1.03,,,,,2.0,-5.46,141.36,Microperoryctes longicauda,327632,False
Microperoryctes murina,Peramelemorphia,Peramelidae,,,,,,,,,-2.61,134.87,Microperoryctes murina,3606656,False
Microperoryctes papuensis,Peramelemorphia,Peramelidae,158.0,,1.01,,,,,,-9.02,148.23,Microperoryctes papuensis,775064,False
Micropotamogale lamottei,Afrosoricida,Tenrecidae,69.59,,3.86,,,,,3.0,7.03,-8.27,Micropotamogale lamottei,321803,False
Micropotamogale ruwenzorii,Afrosoricida,Tenrecidae,109.13,,1.86,,,,,3.0,-1.3,29.41,Micropotamogale ruwenzorii,3607191,False
Micropteropus intermedius,Chiroptera,Pteropodidae,,,,,,,,,-6.24,17.47,Micropteropus intermedius,3613512,False
Micropteropus pusillus,Chiroptera,Pteropodidae,25.38,161.77,0.99,,,,55.18,1.0,0.57,10.95,Micropteropus pusillus,558423,False
Microryzomys altissimus,Rodentia,Cricetidae,13.49,,,,,,,,-3.01,-76.43,Microryzomys altissimus,3608340,False
Microryzomys minutus,Rodentia,Cricetidae,13.49,,,,,,,,-3.34,-71.7,Microryzomys minutus,280102,False
Microsciurus alfari,Rodentia,Sciuridae,87.49,,,,,,,,9.16,-80.9,Microsciurus alfari,953171,False
Microsciurus flaviventer,Rodentia,Sciuridae,92.0,,,,,,,3.0,-7.18,-70.14,Microsciurus flaviventer,532340,False
Microsciurus mimulus,Rodentia,Sciuridae,120.0,,,,,,,3.0,4.84,-79.48,Microsciurus mimulus,3608997,False
Microsciurus santanderensis,Rodentia,Sciuridae,99.79,,,,,,,,6.97,-72.81,Microsciurus santanderensis,3608996,False
Microtus abbreviatus,Rodentia,Cricetidae,66.06,21.27,3.0,,,,14.88,,60.49,-172.66,Microtus abbreviatus,742229,False
Microtus agrestis,Rodentia,Cricetidae,35.87,20.72,4.65,0.000683908,39.6,1948.7,13.9,,54.77,60.64,Microtus agrestis,754333,False
Microtus anatolicus,Rodentia,Cricetidae,,,,,,,,,,,Microtus anatolicus,1077543,False
Microtus arvalis,Rodentia,Cricetidae,26.9,21.0,4.99,0.000531047,36.0,17600.0,17.18,,50.7,46.17,Microtus arvalis,449577,False
Microtus bavaricus,Rodentia,Cricetidae,,,,,,,,1.0,,,Microtus bavaricus,965605,False
Microtus brachycercus,Rodentia,Cricetidae,,,,,,,,,,,Microtus brachycercus,995351,False
Microtus breweri,Rodentia,Cricetidae,,21.0,4.5,,,,8.45,1.0,41.33,-70.31,Microtus breweri,988006,False
Microtus cabrerae,Rodentia,Cricetidae,52.5,,,,,,,,39.92,-4.73,Microtus cabrerae,713373,False
Microtus californicus,Rodentia,Cricetidae,57.42,21.18,4.41,6.67285e-05,,13127.21,17.36,,37.02,-119.72,Microtus californicus,742231,False
Microtus canicaudus,Rodentia,Cricetidae,29.93,22.97,4.62,8.42627e-05,,,18.0,,44.97,-122.91,Microtus canicaudus,742224,False
Microtus chrotorrhinus,Rodentia,Cricetidae,38.99,20.0,3.58,,,,,1.0,44.91,-74.57,Microtus chrotorrhinus,241400,False
Microtus clarkei,Rodentia,Cricetidae,,,,,,,,,25.61,101.26,Neodon clarkei,630916,True
Microtus daghestanicus,Rodentia,Cricetidae,,,,,,,,,41.88,45.06,Microtus daghestanicus,1049258,False
Microtus dogramacii,Rodentia,Cricetidae,,,,,,,,,,,Microtus dogramacii,1049260,False
Myotis rosseti,Chiroptera,Vespertilionidae,3.29,,,,,,,,13.66,102.18,Myotis rosseti,964601,False
Myotis ruber,Chiroptera,Vespertilionidae,4.99,,,,,,,,-23.34,-49.5,Myotis ruber,878678,False
Myotis schaubi,Chiroptera,Vespertilionidae,,,,,,,,,41.69,44.76,Myotis schaubi,878681,False
Myotis scotti,Chiroptera,Vespertilionidae,,,,,,,,,7.71,38.33,Myotis scotti,476752,False
Myotis septentrionalis,Chiroptera,Vespertilionidae,,,,,,,,,46.87,-89.98,Myotis septentrionalis,687557,False
Myotis sicarius,Chiroptera,Vespertilionidae,,,,,,,,,27.31,88.06,Myotis sicarius,476750,False
Myotis siligorensis,Chiroptera,Vespertilionidae,2.93,,0.98,,,,,,17.79,97.87,Myotis siligorensis,687555,False
Myotis simus,Chiroptera,Vespertilionidae,,,0.98,,,,,,-12.91,-56.59,Myotis simus,1066079,False
Myotis sodalis,Chiroptera,Vespertilionidae,7.15,,0.99,,240.0,,46.07,3.0,38.05,-83.66,Myotis sodalis,939110,False
Myotis stalkeri,Chiroptera,Vespertilionidae,,,,,,,,,-2.95,131.04,Myotis stalkeri,3613653,False
Myotis thysanodes,Chiroptera,Vespertilionidae,8.49,53.55,0.99,,219.6,,22.69,,34.16,-109.05,Myotis thysanodes,307132,False
Myotis tricolor,Chiroptera,Vespertilionidae,13.67,77.43,0.99,,,,41.88,,-11.68,29.74,Myotis tricolor,450621,False
Myotis velifer,Chiroptera,Vespertilionidae,9.82,63.77,0.99,,135.96,,43.0,3.0,27.11,-100.43,Myotis velifer,238420,False
Myotis vivesi,Chiroptera,Vespertilionidae,25.63,,0.99,,120.0,,,3.0,27.7,-112.6,Myotis vivesi,514767,False
Myotis volans,Chiroptera,Vespertilionidae,8.71,,0.99,,51.0,,,,39.96,-117.68,Myotis volans,878680,False
Myotis welwitschii,Chiroptera,Vespertilionidae,15.88,,,,,,,,-17.79,26.79,Myotis welwitschii,746782,False
Myotis yanbarensis,Chiroptera,Vespertilionidae,,,,,,,,,26.47,127.98,Myotis yanbarensis,434678,False
Myotis yesoensis,Chiroptera,Vespertilionidae,,,,,,,,,43.45,142.79,Myotis yesoensis,3613654,False
Myotis yumanensis,Chiroptera,Vespertilionidae,5.15,,0.99,,105.96,,,,37.19,-114.95,Myotis yumanensis,878682,False
Myotomys sloggetti,Rodentia,Muridae,106.25,38.0,1.44,,,,16.0,,-29.86,26.31,Myotomys sloggetti,433648,False
Myotomys unisulcatus,Rodentia,Muridae,102.5,36.57,1.42,,,,13.92,1.0,-31.59,22.07,Myotomys unisulcatus,647417,False
Myrmecobius fasciatus,Dasyuromorphia,Myrmecobiidae,511.44,14.0,3.68,0.24,72.0,5.3,269.23,3.0,-33.82,117.04,Myrmecobius fasciatus,70811,False
Myrmecophaga tridactyla,Pilosa,Myrmecophagidae,29531.83,182.74,1.0,4.0,312.0,1.1,79.96,3.0,-7.71,-62.79,Myrmecophaga tridactyla,490538,False
