canonical_taxon_id,phylo_dim_1,phylo_dim_2,phylo_dim_3,phylo_dim_4,phylo_dim_5,phylo_dim_6,phylo_dim_7,phylo_dim_8,phylo_dim_9,phylo_dim_10,phylo_dim_11,phylo_dim_12,phylo_dim_13,phylo_dim_14,phylo_dim_15,phylo_dim_16,phylo_dim_17,phylo_dim_18,phylo_dim_19,phylo_dim_20,phylo_dim_21,phylo_dim_22,phylo_dim_23,phylo_dim_24,phylo_dim_25,phylo_dim_26,phylo_dim_27,phylo_dim_28,phylo_dim_29,phylo_dim_30,phylo_dim_31,phylo_dim_32
acomys_percivali,-149.97375412306053,-22.794519793181117,-4.847473711179501,2.530052781529351,0.4872079905743506,-16.548957174664615,51.81511499460749,-0.00031994584247766367,0.00022213473218519146,-27.641813107455214,-0.003658238744987743,0.03462260179255971,7.343025805072136,-0.22539013764820334,0.001968889768299145,5.2479278606594235,0.2361804191157559,0.0002822559124086596,-0.1784580808742117,-9.48090364351575e-05,-0.00178993246264217,0.0010893831127468466,-0.9580100368979456,-0.01921573691196477,0.01761043533525154,0.00018518373254435325,0.02497534014034484,-0.08106369646818457,-2.2375558587573594e-06,-0.07754704100591805,-2.6920352364870456e-05,-0.0028784497275899735
acomys_russatus,-149.9737541230605,-22.79451979318111,-4.847473711179503,2.530052781529351,0.4872079905743515,-16.548957174664615,51.81511499460749,-0.000319945842497051,0.0002221347322148591,-27.641813107455206,-0.003658238745226399,0.03462260179220634,7.343025805072144,-0.22539013764799537,0.001968889768787054,5.247927860659443,0.23618041911554877,0.0002822559119466785,-0.1784580808749649,-9.480903585423036e-05,-0.0017899324624670216,0.001089383113522462,-0.9580100368978491,-0.0192157369118358,0.01761043533500807,0.0001851837323275149,0.024975340139875964,-0.08106369646794616,-2.2375549021402336e-06,-0.07754704100630867,-2.6920352596760457e-05,-0.0028784497276786226
acomys_spinosissimus,-149.9737541230605,-22.79451979318112,-4.847473711179506,2.5300527815293514,0.4872079905743531,-16.54895717466463,51.81511499460752,-0.00031994584248870367,0.00022213473220797199,-27.641813107455228,-0.003658238745035474,0.03462260179220634,7.34302580507214,-0.22539013764799537,0.001968889768810949,5.247927860659475,0.2361804191156272,0.0002822559118391821,-0.17845808087471382,-9.480903613786064e-05,-0.001789932462657212,0.0010893831123234851,-0.9580100368979376,-0.019215736911936534,0.017610435335018184,0.00018518373226235414,0.02497534013964629,-0.0810636964675261,-2.2375557147828834e-06,-0.07754704100554698,-2.692035308575405e-05,-0.002878449727516321
acomys_subspinosus,-149.9737541230605,-22.79451979318113,-4.847473711179505,2.5300527815293514,0.48720799057436565,-16.548957174664615,51.8151149946075,-0.00031994584248427757,0.00022213473220370064,-27.641813107455214,-0.003658238745160769,0.0346226017923073,7.343025805072133,-0.22539013764803176,0.0019688897683173825,5.2479278606594555,0.2361804191156111,0.0002822559113825705,-0.1784580808748812,-9.480903588315263e-05,-0.0017899324624167515,0.0010893831122715768,-0.958010036897805,-0.01921573691225324,0.017610435335341436,0.00018518373239863212,0.02497534014009868,-0.08106369646825268,-2.23755610939351e-06,-0.07754704100591805,-2.69203537144214e-05,-0.0028784497280965405
acomys_wilsoni,-149.9737541230605,-22.79451979318113,-4.847473711179502,2.5300527815293528,0.48720799057436376,-16.548957174664615,51.81511499460751,-0.0003199458424837222,0.00022213473220295563,-27.641813107455228,-0.003658238745159277,0.034622601792305197,7.34302580507213,-0.2253901376480428,0.001968889768547787,5.247927860659467,0.236180419115591,0.0002822559124185202,-0.17845808087494397,-9.480903572066181e-05,-0.0017899324624589524,0.0010893831128673558,-0.9580100368977875,-0.019215736912115873,0.017610435334978854,0.00018518373276994323,0.024975340139729442,-0.08106369646786668,-2.237555161624123e-06,-0.07754704100650398,-2.6920353617510978e-05,-0.0028784497279512357
aconaemys_sagei,-146.8979248245023,-20.73283584814744,-3.460670324179138,1.1330820023979027,0.2034374201045739,-6.4239496236029145,6.206983332469221,1.4303477460572417e-05,-1.789298525380924e-05,11.09156746036001,0.004566420162441578,-0.05416649857807442,-13.463088011017666,0.4551444671592494,-0.0043257377337685655,-16.50193696970616,-1.0248003206076213,-0.0013254314847605162,1.1531455671225863,0.0006248681564800843,0.013009997632141338,-0.00888036213771004,8.144141671962966,0.18022795303334857,-0.17411212485931643,-0.0018684569010952623,-0.2632200319375863,0.9373105501854548,2.6815063033528392e-05,0.9426432219754369,0.0003740219963559253,0.04005347667018763
acrobates_pygmaeus,23.493997273207253,253.4359221336223,-56.45096752669722,43.29809088263786,-4.456924409639192,2.71390326969096,0.02800803979921934,0.012698441733255454,0.01565278290125949,-0.043647907140255744,-0.037799185761592975,38.60341765237971,-0.05198874719424152,0.028328318453987103,-0.0016277487915825639,0.004081153316305692,-0.04050156780402167,-0.018264407995870077,-0.001509142245818332,0.03899631499861266,-0.10024398482445365,0.013036113221024728,-0.03493361743449028,2.588629109149354,1.2451761565606554,0.00757787555707569,-0.04511002834351091,-2.791617270373464e-05,0.0001282382222476869,-8.81453291317956e-06,-2.421748804863449e-06,-5.139972508501023e-07
addax_nasomaculatus,175.17007081248923,-25.98255203619713,-2.1898667637654805,-6.0530338858238775,-52.30103848590146,-2.2559860425274727,0.028543053884847073,-54.88842499604095,55.4179735235795,-0.020566348465872065,-2.050686141232001,0.03872243119152425,0.06561721960121934,0.17447972254299846,-0.5451363897104726,0.0045431086143674,-0.062009235934956906,-2.7189253174925416,-0.023282408006317302,22.376370242230934,0.2525896916902526,-0.5904298214298334,0.016199862599740135,-0.1499008571684902,0.14186170070833884,-0.015287194202163857,-0.013290350193624416,-1.1079724925476413e-05,-0.003747171846235347,7.184063900741311e-07,-0.1881097993369075,0.0006538632196285559
aepeomys_lugens,-150.89899698439217,-23.478196744093307,-5.491945152993764,3.9596083068820938,0.8236392864930915,-30.734272123226873,-44.989571945815385,-4.079338509686467e-05,4.507356435041224e-05,-13.666324066382655,-0.002395028700754914,0.023393466832920363,5.0552562327391914,-0.15675514721833284,0.0013805912187040475,3.78648776740443,0.1736208340064859,0.00020827693391827125,-0.13336145969680255,-7.089768076133548e-05,-0.0013426606506243052,0.0008198507098671795,-0.7217835664899168,-0.01451277522683276,0.013316487896713773,0.00014009352367497626,0.01891182647556951,-0.061497576048110104,-1.6986306829045607e-06,-0.05888492866179008,-2.0488706250103363e-05,-0.002190801886040791
aepyceros_melampus,175.17007081248923,-25.98255203619713,-2.1898667637654854,-6.0530338858238775,-52.301038485901444,-2.2559860425274696,0.02854305388484822,-54.88842499604098,55.417973523579484,-0.020566348465869126,-2.0506861412320005,0.03872243119152995,0.0656172196012242,0.1744797225430069,-0.5451363897104677,0.004543108614362806,-0.06200923593497566,-2.718925317492401,-0.023282408006324494,22.37637024223106,0.25258969169026596,-0.5904298214296577,0.0161998625997269,-0.14990085716848714,0.14186170070834184,-0.015287194202189892,-0.013290350193354812,-1.1079724743833916e-05,-0.003747171846069769,7.184062561506351e-07,-0.18810979933657448,0.000653863219853845
aepyprymnus_rufescens,23.499325276513186,253.68919187336846,-56.62902190684944,43.560894293632415,-4.485450847327601,2.732143807629023,0.02827806433895916,0.01284348386792545,0.015837631137841302,-0.04431400080092922,-0.03871620231765917,39.66802402544992,-0.05356828156777689,0.029243635300172363,-0.0016833319179382228,0.004259994655648112,-0.04275933477495449,-0.01934655272681515,-0.001624156769437031,0.042015715510019744,-0.1086402606559849,0.014233880051405664,-0.038254177853565906,2.855077291918822,1.3789353178946357,0.008405411028113385,-0.05021320284459295,-3.132005809588846e-05,0.00014433306935203067,-9.933584566121823e-06,-2.7640528371710022e-06,-5.867373377402321e-07
aeromys_tephromelas,-148.68385134124355,-21.892521385345116,-4.157226091373377,1.6746161230552066,0.3087619549237468,-10.011225594940445,12.811423808714897,3.685064266672379e-05,-4.8734220633035196e-05,61.85208250871345,-0.014417123373830866,0.10791414989486374,20.41509171372636,-0.5923663959058734,0.004958364866674434,11.561733268695253,0.48182263628580646,0.0005674209773851968,-0.34216933591302595,-0.0001813468692391513,-0.003385754926326031,0.0020368296047182507,-1.7842318127361727,-0.03548650033165936,0.032386252604706324,0.00034003292422001924,0.04571253245203448,-0.1474324312592853,-4.060188594510305e-06,-0.1405895461574363,-4.843112064558148e-05,-0.005178056228992453
