canonical_taxon_id,species,order,family,genus,adult_body_mass_g,gestation_length_d,litter_size,weaning_age_d,home_range_km2,trophic_level,max_longevity_m
dorcopsis_hageni,Dorcopsis hageni,Diprotodontia,Macropodidae,Dorcopsis,5499.99,,1.01,304.99,,2.0,
dorcopsis_luctuosa,Dorcopsis luctuosa,Diprotodontia,Macropodidae,Dorcopsis,4939.56,,1.01,300.95,,1.0,96.0
dorcopsis_muelleri,Dorcopsis muelleri,Diprotodontia,Macropodidae,Dorcopsis,5370.79,,1.0,269.23,,,91.2
dorcopsulus_macleayi,Dorcopsulus macleayi,Diprotodontia,Macropodidae,Dorcopsulus,2780.54,,1.24,,,1.0,
dorcopsulus_vanheurni,Dorcopsulus vanheurni,Diprotodontia,Macropodidae,Dorcopsulus,1890.36,,1.18,,,1.0,
dremomys_everetti,Dremomys everetti,Rodentia,Sciuridae,Dremomys,129.78,,,,,2.0,
dremomys_lokriah,Dremomys lokriah,Rodentia,Sciuridae,Dremomys,226.99,,3.68,,,,85.2
dremomys_pernyi,Dremomys pernyi,Rodentia,Sciuridae,Dremomys,198.63,,,,,,
dremomys_rufigenis,Dremomys rufigenis,Rodentia,Sciuridae,Dremomys,200.32,,,,,,
dromiciops_gliroides,Dromiciops gliroides,Microbiotheria,Microbiotheriidae,Dromiciops,25.0,,3.0,,,2.0,38.4
dryomys_laniger,Dryomys laniger,Rodentia,Gliridae,Dryomys,25.91,30.2,4.18,31.32,,2.0,
dryomys_nitedula,Dryomys nitedula,Rodentia,Gliridae,Dryomys,29.5,24.5,3.24,31.32,,2.0,48.0
dyacopterus_spadiceus,Dyacopterus spadiceus,Chiroptera,Pteropodidae,Dyacopterus,81.1,,,,,,
dymecodon_pilirostris,Dymecodon pilirostris,Soricomorpha,Talpidae,Dymecodon,15.46,40.0,3.0,,,3.0,
echimys_chrysurus,Echimys chrysurus,Rodentia,Echimyidae,Echimys,609.99,,1.94,,,1.0,
echimys_saturnus,Echimys saturnus,Rodentia,Echimyidae,Echimys,626.89,,,,,,
echimys_semivillosus,Echimys semivillosus,Rodentia,Echimyidae,Echimys,282.36,,,,,1.0,
echinoprocta_rufescens,Echinoprocta rufescens,Rodentia,Erethizontidae,Echinoprocta,831.79,,,,,,
echinops_telfairi,Echinops telfairi,Afrosoricida,Tenrecidae,Echinops,152.25,62.54,5.49,31.18,,3.0,156.0
echinosorex_gymnura,Echinosorex gymnura,Erinaceomorpha,Erinaceidae,Echinosorex,756.53,37.74,1.9,,,2.0,84.0
echymipera_clara,Echymipera clara,Peramelemorphia,Peramelidae,Echymipera,1204.61,,2.2,,0.01,2.0,
echymipera_davidi,Echymipera davidi,Peramelemorphia,Peramelidae,Echymipera,817.05,,,,,,
echymipera_echinista,Echymipera echinista,Peramelemorphia,Peramelidae,Echymipera,1204.61,,,,,,
echymipera_kalubu,Echymipera kalubu,Peramelemorphia,Peramelidae,Echymipera,825.16,13.03,2.07,,0.01,2.0,
echymipera_rufescens,Echymipera rufescens,Peramelemorphia,Peramelidae,Echymipera,1051.48,,2.18,,,,34.8
ectophylla_alba,Ectophylla alba,Chiroptera,Phyllostomidae,Ectophylla,5.55,,0.99,24.98,,1.0,
eidolon_dupreanum,Eidolon dupreanum,Chiroptera,Pteropodidae,Eidolon,297.58,131.32,1.22,,,1.0,240.0
eidolon_helvum,Eidolon helvum,Chiroptera,Pteropodidae,Eidolon,254.61,164.36,1.08,60.83,,1.0,261.99
eira_barbara,Eira barbara,Carnivora,Mustelidae,Eira,4134.99,66.74,2.14,94.46,11.4,2.0,216.0
elaphodus_cephalophus,Elaphodus cephalophus,Artiodactyla,Cervidae,Elaphodus,23087.87,181.24,1.0,,,,
elephantulus_brachyrhynchus,Elephantulus brachyrhynchus,Macroscelidea,Macroscelididae,Elephantulus,45.11,,1.54,,,3.0,
elephantulus_edwardii,Elephantulus edwardii,Macroscelidea,Macroscelididae,Elephantulus,49.69,,1.8,27.28,,,
elephantulus_fuscipes,Elephantulus fuscipes,Macroscelidea,Macroscelididae,Elephantulus,57.0,,0.96,,,,
elephantulus_intufi,Elephantulus intufi,Macroscelidea,Macroscelididae,Elephantulus,48.9,51.0,1.55,36.49,,3.0,105.6
elephantulus_myurus,Elephantulus myurus,Macroscelidea,Macroscelididae,Elephantulus,59.51,50.66,1.84,22.82,,2.0,13.2
